experiment,k,instance_id,run_id,instance_seed,run_seed,algorithm,variant,budget_ms,time_ms,F,D,tardiness,gap_to_best_pct
budget,16,15,0,21861979,20422039,LNS,full,300.000000,300.031300,2192.000000,442,1750,0.000000
budget,16,15,1,21861979,20423048,LocalSearch,full,300.000000,300.001900,2192.000000,442,1750,0.000000
budget,16,15,1,21861979,20423048,SA,full,300.000000,300.002400,2192.000000,442,1750,0.000000
budget,16,15,1,21861979,20423048,LNS,full,300.000000,300.033100,2192.000000,442,1750,0.000000
budget,16,15,2,21861979,20424057,LocalSearch,full,300.000000,300.001200,2388.000000,468,1920,8.941606
budget,16,15,2,21861979,20424057,SA,full,300.000000,300.001900,2192.000000,442,1750,0.000000
budget,16,15,2,21861979,20424057,LNS,full,300.000000,300.027200,2192.000000,442,1750,0.000000
budget,16,16,0,21862076,20422140,LocalSearch,full,300.000000,300.001700,2586.000000,454,2132,3.772071
budget,16,16,0,21862076,20422140,SA,full,300.000000,300.001800,2492.000000,468,2024,0.000000
budget,16,16,0,21862076,20422140,LNS,full,300.000000,300.019800,2492.000000,468,2024,0.000000
budget,16,16,1,21862076,20423149,LocalSearch,full,300.000000,300.001600,2586.000000,454,2132,3.772071
budget,16,16,1,21862076,20423149,SA,full,300.000000,300.001700,2492.000000,468,2024,0.000000
budget,16,16,1,21862076,20423149,LNS,full,300.000000,300.018400,2492.000000,468,2024,0.000000
budget,16,16,2,21862076,20424158,LocalSearch,full,300.000000,300.001700,2586.000000,454,2132,3.772071
budget,16,16,2,21862076,20424158,SA,full,300.000000,300.001600,2492.000000,468,2024,0.000000
budget,16,16,2,21862076,20424158,LNS,full,300.000000,300.023300,2492.000000,468,2024,0.000000
budget,16,17,0,21862173,20422241,LocalSearch,full,300.000000,300.001600,2877.000000,528,2349,0.000000
budget,16,17,0,21862173,20422241,SA,full,300.000000,300.001400,2877.000000,528,2349,0.000000
budget,16,17,0,21862173,20422241,LNS,full,300.000000,300.030200,2877.000000,528,2349,0.000000
budget,16,17,1,21862173,20423250,LocalSearch,full,300.000000,300.001400,2877.000000,528,2349,0.000000
budget,16,17,1,21862173,20423250,SA,full,300.000000,300.002000,2877.000000,528,2349,0.000000
budget,16,17,1,21862173,20423250,LNS,full,300.000000,300.027700,2877.000000,528,2349,0.000000
budget,16,17,2,21862173,20424259,LocalSearch,full,300.000000,300.001700,2877.000000,528,2349,0.000000
budget,16,17,2,21862173,20424259,SA,full,300.000000,300.001600,2877.000000,528,2349,0.000000
budget,16,17,2,21862173,20424259,LNS,full,300.000000,300.006000,2877.000000,528,2349,0.000000
budget,16,18,0,21862270,20422342,LocalSearch,full,300.000000,300.001500,3480.000000,638,2842,0.928074
budget,16,18,0,21862270,20422342,SA,full,300.000000,300.001500,3454.000000,626,2828,0.174014
