experiment,k,instance_id,run_id,instance_seed,run_seed,algorithm,variant,budget_ms,time_ms,F,D,tardiness,gap_to_best_pct
ablation,32,6,0,23461106,20581130,LNS,no_probability_acceptance,300.000000,300.560100,15827.000000,1270,14557,1.755176
ablation,32,6,0,23461106,20581130,LNS,destroy_ratio_0.15,300.000000,300.162700,15829.000000,1276,14553,1.768034
ablation,32,6,0,23461106,20581130,LNS,destroy_ratio_0.45,300.000000,301.137700,16033.000000,1294,14739,3.079594
ablation,32,6,1,23461106,20582139,LNS,full,300.000000,300.600900,15664.000000,1266,14398,1.064585
ablation,32,6,1,23461106,20582139,LNS,no_regret,300.000000,300.845800,15710.000000,1270,14440,1.361378
ablation,32,6,1,23461106,20582139,LNS,no_adaptive_weight,300.000000,301.097000,15499.000000,1262,14237,0.000000
ablation,32,6,1,23461106,20582139,LNS,no_local_search,300.000000,301.786100,16819.000000,1294,15525,8.516678
ablation,32,6,1,23461106,20582139,LNS,no_probability_acceptance,300.000000,300.461600,16102.000000,1280,14822,3.890574
ablation,32,6,1,23461106,20582139,LNS,destroy_ratio_0.15,300.000000,300.711800,15511.000000,1260,14251,0.077424
ablation,32,6,1,23461106,20582139,LNS,destroy_ratio_0.45,300.000000,300.868900,16300.000000,1280,15020,5.168075
ablation,32,6,2,23461106,20583148,LNS,full,300.000000,300.534200,15636.000000,1286,14350,1.203883
ablation,32,6,2,23461106,20583148,LNS,no_regret,300.000000,300.423500,15450.000000,1260,14190,0.000000
ablation,32,6,2,23461106,20583148,LNS,no_adaptive_weight,300.000000,300.133800,16018.000000,1276,14742,3.676375
ablation,32,6,2,23461106,20583148,LNS,no_local_search,300.000000,300.405200,17057.000000,1300,15757,10.401294
ablation,32,6,2,23461106,20583148,LNS,no_probability_acceptance,300.000000,300.315000,15559.000000,1268,14291,0.705502
ablation,32,6,2,23461106,20583148,LNS,destroy_ratio_0.15,300.000000,300.644400,15479.000000,1266,14213,0.187702
ablation,32,6,2,23461106,20583148,LNS,destroy_ratio_0.45,300.000000,301.534300,17165.000000,1330,15835,11.100324
ablation,32,7,0,23461203,20581231,LNS,full,300.000000,300.482600,9721.000000,894,8827,0.433929
ablation,32,7,0,23461203,20581231,LNS,no_regret,300.000000,300.551600,9998.000000,894,9104,3.295795
ablation,32,7,0,23461203,20581231,LNS,no_adaptive_weight,300.000000,300.890900,9989.000000,892,9097,3.202810
ablation,32,7,0,23461203,20581231,LNS,no_local_search,300.000000,300.957800,10741.000000,940,9801,10.972208
ablation,32,7,0,23461203,20581231,LNS,no_probability_acceptance,300.000000,300.639400,10077.000000,906,9171,4.111995
ablation,32,7,0,23461203,20581231,LNS,destroy_ratio_0.15,300.000000,300.090100,9679.000000,894,8785,0.000000
ablation,32,7,0,23461203,20581231,LNS,destroy_ratio_0.45,300.000000,301.886700,10785.000000,944,9841,11.426800
ablation,32,7,1,23461203,20582240,LNS,full,300.000000,300.849000,9721.000000,894,8827,0.000000
ablation,32,7,1,23461203,20582240,LNS,no_regret,300.000000,301.024500,9767.000000,898,8869,0.473202
ablation,32,7,1,23461203,20582240,LNS,no_adaptive_weight,300.000000,301.148900,9937.000000,902,9035,2.221994
ablation,32,7,1,23461203,20582240,LNS,no_local_search,300.000000,301.086200,10753.000000,930,9823,10.616192
ablation,32,7,1,23461203,20582240,LNS,no_probability_acceptance,300.000000,301.390200,9746.000000,896,8850,0.257175
ablation,32,7,1,23461203,20582240,LNS,destroy_ratio_0.15,300.000000,300.156200,9821.000000,902,8919,1.028701
ablation,32,7,1,23461203,20582240,LNS,destroy_ratio_0.45,300.000000,301.007000,10555.000000,938,9617,8.579364
ablation,32,7,2,23461203,20583249,LNS,full,300.000000,300.861100,9866.000000,890,8976,0.172606
ablation,32,7,2,23461203,20583249,LNS,no_regret,300.000000,300.142400,9849.000000,888,8961,0.000000
ablation,32,7,2,23461203,20583249,LNS,no_adaptive_weight,300.000000,300.582000,9889.000000,902,8987,0.406133
ablation,32,7,2,23461203,20583249,LNS,no_local_search,300.000000,300.553700,10931.000000,940,9991,10.985887
ablation,32,7,2,23461203,20583249,LNS,no_probability_acceptance,300.000000,300.399700,10012.000000,904,9108,1.654990
ablation,32,7,2,23461203,20583249,LNS,destroy_ratio_0.15,300.000000,300.322300,9943.000000,908,9035,0.954412
ablation,32,7,2,23461203,20583249,LNS,destroy_ratio_0.45,300.000000,301.319100,10248.000000,904,9344,4.051173
ablation,32,8,0,23461300,20581332,LNS,full,300.000000,300.420700,13708.000000,1124,12584,4.721161
ablation,32,8,0,23461300,20581332,LNS,no_regret,300.000000,301.080200,13090.000000,1092,11998,0.000000
ablation,32,8,0,23461300,20581332,LNS,no_adaptive_weight,300.000000,300.945300,13145.000000,1090,12055,0.420168
ablation,32,8,0,23461300,20581332,LNS,no_local_search,300.000000,300.297400,14799.000000,1130,13669,13.055768
ablation,32,8,0,23461300,20581332,LNS,no_probability_acceptance,300.000000,300.396100,13331.000000,1110,12221,1.841100
ablation,32,8,0,23461300,20581332,LNS,destroy_ratio_0.15,300.000000,300.333600,13328.000000,1088,12240,1.818182
ablation,32,8,0,23461300,20581332,LNS,destroy_ratio_0.45,300.000000,303.529400,14202.000000,1096,13106,8.495034
ablation,32,8,1,23461300,20582341,LNS,full,300.000000,301.455700,13479.000000,1108,12371,3.453834
ablation,32,8,1,23461300,20582341,LNS,no_regret,300.000000,300.340500,13303.000000,1090,12213,2.103001
ablation,32,8,1,23461300,20582341,LNS,no_adaptive_weight,300.000000,300.669000,13701.000000,1104,12597,5.157725
ablation,32,8,1,23461300,20582341,LNS,no_local_search,300.000000,300.699900,14199.000000,1120,13079,8.979968
ablation,32,8,1,23461300,20582341,LNS,no_probability_acceptance,300.000000,301.291400,14064.000000,1120,12944,7.943818
ablation,32,8,1,23461300,20582341,LNS,destroy_ratio_0.15,300.000000,300.168400,13029.000000,1098,11931,0.000000
ablation,32,8,1,23461300,20582341,LNS,destroy_ratio_0.45,300.000000,300.422000,13663.000000,1122,12541,4.866068
ablation,32,8,2,23461300,20583350,LNS,full,300.000000,300.845200,13135.000000,1094,12041,0.489634
ablation,32,8,2,23461300,20583350,LNS,no_regret,300.000000,300.382600,13071.000000,1106,11965,0.000000
ablation,32,8,2,23461300,20583350,LNS,no_adaptive_weight,300.000000,301.070400,13454.000000,1100,12354,2.930151
ablation,32,8,2,23461300,20583350,LNS,no_local_search,300.000000,300.717200,14881.000000,1152,13729,13.847449
ablation,32,8,2,23461300,20583350,LNS,no_probability_acceptance,300.000000,300.299200,13153.000000,1086,12067,0.627343
ablation,32,8,2,23461300,20583350,LNS,destroy_ratio_0.15,300.000000,300.262100,13217.000000,1082,12135,1.116977
ablation,32,8,2,23461300,20583350,LNS,destroy_ratio_0.45,300.000000,300.769100,13459.000000,1122,12337,2.968403
ablation,32,9,0,23461397,20581433,LNS,full,300.000000,300.653500,10740.000000,876,9864,3.738047
ablation,32,9,0,23461397,20581433,LNS,no_regret,300.000000,300.363000,10353.000000,850,9503,0.000000
ablation,32,9,0,23461397,20581433,LNS,no_adaptive_weight,300.000000,300.572000,10879.000000,872,10007,5.080653
ablation,32,9,0,23461397,20581433,LNS,no_local_search,300.000000,300.110300,11469.000000,890,10579,10.779484
ablation,32,9,0,23461397,20581433,LNS,no_probability_acceptance,300.000000,300.976700,11405.000000,924,10481,10.161306
ablation,32,9,0,23461397,20581433,LNS,destroy_ratio_0.15,300.000000,300.327500,10367.000000,888,9479,0.135227
ablation,32,9,0,23461397,20581433,LNS,destroy_ratio_0.45,300.000000,303.534500,11603.000000,938,10665,12.073795
ablation,32,9,1,23461397,20582442,LNS,full,300.000000,300.706900,10743.000000,878,9865,3.606905
ablation,32,9,1,23461397,20582442,LNS,no_regret,300.000000,301.252200,10483.000000,862,9621,1.099431
ablation,32,9,1,23461397,20582442,LNS,no_adaptive_weight,300.000000,300.958100,10859.000000,878,9981,4.725624
ablation,32,9,1,23461397,20582442,LNS,no_local_search,300.000000,300.052200,11465.000000,904,10561,10.569968
ablation,32,9,1,23461397,20582442,LNS,no_probability_acceptance,300.000000,300.251700,11151.000000,894,10257,7.541711
ablation,32,9,1,23461397,20582442,LNS,destroy_ratio_0.15,300.000000,300.365200,10369.000000,862,9507,0.000000
ablation,32,9,1,23461397,20582442,LNS,destroy_ratio_0.45,300.000000,301.748300,10927.000000,920,10007,5.381425
ablation,32,9,2,23461397,20583451,LNS,full,300.000000,301.509700,10531.000000,862,9669,0.881310
ablation,32,9,2,23461397,20583451,LNS,no_regret,300.000000,300.287100,10439.000000,878,9561,0.000000
ablation,32,9,2,23461397,20583451,LNS,no_adaptive_weight,300.000000,300.985500,10604.000000,910,9694,1.580611
ablation,32,9,2,23461397,20583451,LNS,no_local_search,300.000000,300.060100,11397.000000,900,10497,9.177124
ablation,32,9,2,23461397,20583451,LNS,no_probability_acceptance,300.000000,300.811500,10809.000000,862,9947,3.544401
ablation,32,9,2,23461397,20583451,LNS,destroy_ratio_0.15,300.000000,300.309200,10565.000000,868,9697,1.207012
ablation,32,9,2,23461397,20583451,LNS,destroy_ratio_0.45,300.000000,300.858800,10901.000000,888,10013,4.425711
ablation,32,10,0,23461494,20581534,LNS,full,300.000000,300.961600,11615.000000,982,10633,4.564278
ablation,32,10,0,23461494,20581534,LNS,no_regret,300.000000,300.877300,11140.000000,988,10152,0.288081
ablation,32,10,0,23461494,20581534,LNS,no_adaptive_weight,300.000000,300.181200,11658.000000,990,10668,4.951386
ablation,32,10,0,23461494,20581534,LNS,no_local_search,300.000000,300.401500,12736.000000,1004,11732,14.656104
ablation,32,10,0,23461494,20581534,LNS,no_probability_acceptance,300.000000,300.659200,11424.000000,962,10462,2.844797
ablation,32,10,0,23461494,20581534,LNS,destroy_ratio_0.15,300.000000,300.222500,11108.000000,980,10128,0.000000
ablation,32,10,0,23461494,20581534,LNS,destroy_ratio_0.45,300.000000,302.708700,12785.000000,1040,11745,15.097227
ablation,32,10,1,23461494,20582543,LNS,full,300.000000,300.712200,11140.000000,988,10152,0.288081
ablation,32,10,1,23461494,20582543,LNS,no_regret,300.000000,300.849200,11120.000000,988,10132,0.108030
ablation,32,10,1,23461494,20582543,LNS,no_adaptive_weight,300.000000,301.008400,11972.000000,1032,10940,7.778178
ablation,32,10,1,23461494,20582543,LNS,no_local_search,300.000000,300.262500,12828.000000,998,11830,15.484336
ablation,32,10,1,23461494,20582543,LNS,no_probability_acceptance,300.000000,300.880800,11954.000000,1036,10918,7.616133
ablation,32,10,1,23461494,20582543,LNS,destroy_ratio_0.15,300.000000,300.043200,11108.000000,980,10128,0.000000
ablation,32,10,1,23461494,20582543,LNS,destroy_ratio_0.45,300.000000,302.732000,12004.000000,1038,10966,8.066259
ablation,32,10,2,23461494,20583552,LNS,full,300.000000,300.224300,11695.000000,996,10699,5.151951
ablation,32,10,2,23461494,20583552,LNS,no_regret,300.000000,300.832600,11122.000000,988,10134,0.000000
ablation,32,10,2,23461494,20583552,LNS,no_adaptive_weight,300.000000,300.791000,11911.000000,994,10917,7.094048
ablation,32,10,2,23461494,20583552,LNS,no_local_search,300.000000,301.663700,12857.000000,1028,11829,15.599712
ablation,32,10,2,23461494,20583552,LNS,no_probability_acceptance,300.000000,300.417200,11715.000000,1028,10687,5.331775
ablation,32,10,2,23461494,20583552,LNS,destroy_ratio_0.15,300.000000,300.139500,11536.000000,982,10554,3.722352
ablation,32,10,2,23461494,20583552,LNS,destroy_ratio_0.45,300.000000,300.182100,11786.000000,1010,10776,5.970149
ablation,32,11,0,23461591,20581635,LNS,full,300.000000,300.955700,11607.000000,932,10675,4.671296
ablation,32,11,0,23461591,20581635,LNS,no_regret,300.000000,300.522000,11145.000000,876,10269,0.505005
ablation,32,11,0,23461591,20581635,LNS,no_adaptive_weight,300.000000,301.218700,11682.000000,914,10768,5.347642
ablation,32,11,0,23461591,20581635,LNS,no_local_search,300.000000,302.791800,13273.000000,994,12279,19.695193
ablation,32,11,0,23461591,20581635,LNS,no_probability_acceptance,300.000000,300.288200,11431.000000,920,10511,3.084137
ablation,32,11,0,23461591,20581635,LNS,destroy_ratio_0.15,300.000000,300.007600,11089.000000,882,10207,0.000000
ablation,32,11,0,23461591,20581635,LNS,destroy_ratio_0.45,300.000000,300.384000,13103.000000,974,12129,18.162143
ablation,32,11,1,23461591,20582644,LNS,full,300.000000,300.114600,11311.000000,936,10375,2.556895
